species,site,n
Ring-tailed lemur,German Primate Center,7
Ring-tailed lemur,Kristiansand Zoo,2
Black-and-white ruffed lemur,German Primate Center,7
Brown capuchin monkey,Edinburgh Zoo,25
Brown capuchin monkey,Language Research Center,21
Black-faced spider monkey,Kristiansand Zoo,1
Squirrel monkey,Edinburgh Zoo,18
Rhesus macaque,Monkey Haven,3
Long-tailed macaque,German Primate Center,17
Barbary macaque,Monkey Haven,3
Chimpanzee,Edinburgh Zoo,12
Chimpanzee,Kumamoto Sanctuary,6
Chimpanzee,Wolfgang Köhler Primate Research Center,12
Chimpanzee,Sweetwaters Chimpanzee Sanctuary,13
Chimpanzee,Sweetwaters Chimpanzee Sanctuary,8
Bonobo,Ape Cognition & Conservation Initiative,5
Bonobo,Kumamoto Sanctuary,6
Gorilla,Lincoln Park Zoo,3
Gorilla,Heidelberg Zoo,2
Orangutan,Wolfgang Köhler Primate Research Center,5
