site,area,country,lat,long
Wolfgang Köhler Primate Research Center,Leipzig,Germany,51.348537,12.3716514
Lincoln Park Zoo,"Chicago, IL",USA,41.9210919,-87.6339909
Kumamoto Sanctuary,Kumamoto,Japan,32.6408466,130.4824801
German Primate Center,Göttingen,Germany,51.5609703,9.9528945
Sweetwaters Chimpanzee Sanctuary,Nanyuki,Kenya,-0.004259,36.963671
Heidelberg Zoo,Heidelberg,Germany,49.415154,8.663884
Edinburgh Zoo,Edinburgh,UK,55.942326,-3.267318
Kristiansand Zoo,Kristiansand,Norway,58.1856575,8.144123
Monkey Haven,Isle of Wight,UK,50.705786,-1.262753
Language Research Center,"Atlanta, GA",USA,33.753068,-84.3852819
Ape Cognition & Conservation Initiative,"Des Moines, IA",USA,41.545615,-93.532313
Duke Lemur Center,"Durham, NC",USA,35.9941971,-78.9623365
Yerkes National Primate Research Center,"Atlanta, GA",USA,33.803676,-84.318564
Tchimpounga Chimpanzee Sanctuary,NA,Republic of Congo,-4.392769,11.793972
Michale E. Keeling Center for Comparative Medicine and Research,"Bastrop, TX",USA,30.2098,-97.30001
Budongo Forest Conservation Field Station,Budongo,Uganda,1.804417,31.633437
ISTC-CNR Primate Centre,Rome,Italy,41.917862,12.488197
Animaya Zoo,Merida,Mexico,20.984641,-89.686794
Primate Research Institute,Inuyama,Japan,35.387972,136.958243
New York State Psychiatric Institute,"New York, NY",USA,40.842703,-73.943827
Inkawu Vervet Project,Mawana Game Reserve,South Africa,-28.005266,31.204076
Cayo Santiago,Humacao,Puerto Rico,18.157179,-65.733637
Iguazú Falls National Park,Puerto Iguazu,Argentina,-25.678468,-54.466256
CNRS Primate Centre in Rousset-sur-Arc,Rousset-sur-Arc,France,43.481009,5.620889
Marwell Zoo,Winchester,UK,50.992207,1.280794
Mulhouse Zoo,Mulhouse,France,47.73188,7.348061
Duisburg Zoo,Duisburg,Germany,51.436622,6.806439
Tierpark Hamm,Hamm,Germany,51.663146,7.815817
Laboratory of Comparative Ethology,"Dickerson, MD",USA,39.130337,-77.475947
Zoo Atlanta,"Atlanta, GA",USA,33.734241,-84.371903
Lola ya Bonobo Sanctuary,Kinshasa,Democratic Republic of Kongo,-4.489936,15.268428
Biomedical Primate Research Centre,Rijswijk,Netherlands,52.034603,4.357697
Parco Faunistico Piano dell’Abatino,Monteleone Sabino,Italy,42.244844,12.858572
Oxford University Primate Center,Oxford,UK,51.754863,-1.25441
RIKEN Center for Brain Science,Wako,Japan,35.77987,139.614804
Franklin and Marshall College,"Lancaster, PA",USA,40.048805,-76.319933
Taronga Zoo,Sidney,Australia,-33.842622,151.243072
Centre de Primatologie de l'Université de Strasbourg,Strasbourg,France,48.627198,7.692843
Chimfunshi Wildlife Orphanage,Kashamata,Zambia,-12.034323,28.269076
Gibbon Conservation Center,"Santa Clarita, CA",USA,34.466317,-118.46821
Shanghai Institutes for Biological Sciences,Shanghai,China,31.201665,121.453074
Beijing Zoo,Beijing,China,39.939127,116.339593
Beijing Wildlife Park,Beijing,China,39.517207,116.399673
Charles University Prague,Prague,Czech Republic,50.086973,14.423478
François’ Langur Breeding Center,Wuzhou,China,23.477806,111.280859
Seoul Zoo,Seoul,South Korea,37.42761,127.017014
Primate Research Center IPB,Bogor,Indonesia,-6.585332,106.817381
Prague Zoo,Prague,Czech Republic,50.11799,14.406261
Anthropological Institute Primate Research Station,Zurich,Switzerland,47.397718,8.549875
Seneca Park Zoo,"Rochester, NY",USA,43.205792,-77.622447
University of Texas Health Science Center,"Houston, TX",USA,29.788242,-95.210043
University of Toyama,Toyama,Japan,36.698214,137.188379
University of Georgia,"Athens, GA",USA,33.947979,-83.377429
McLean Hospital,"Belmont, MA",USA,42.393393,-71.190361
Toronto Zoo,Toronto,Canada,43.8179,-79.185365
German Primate Center research station,Kirindy,Madagascar,-20.037666,44.724014
Simenti Centre de Recherche de Primatologie,NA,Senegal,13.015179,-12.916946
Comparative Cognition Laboratory at Yale,"New Haven, CT",USA,41.316499,-72.921871
Detroit Zoological Society,"Detroit, MI",USA,42.479238,-83.169118
Singapore Zoo,Singapore,Singapore,1.404627,103.793463
Lake Nabugabo,NA,Uganda,-0.355909,31.912559
Loskop Dam Nature Reserve,NA,South Africa,-25.424404,29.387108
Cognitive Evolution Laboratory at Harvard,"Cambridge, MA",USA,42.377144,-71.116231
Bucknell University,"Lewisburg, PA",USA,40.954756,-76.885097
Beijing Normal University,Beijing,China,39.962159,116.366712
University of Rochester,"Rochester, NY",USA,43.130537,-77.626025
Duke University,"Durham, NC",USA,36.001912,-78.935427
Awaji Monkey Center,NA,Japan,34.245127,134.883316
Buffer zone between Pongara National Park and Wonga-Wongue Presidential Park,NA,Gabon,-0.116023,9.568093
Katsuyama,NA,Japan,36.073804,136.526408
Center for Comparative Medicine and Research,"Lebanon, NH",USA,43.67548,-72.272537
Ngamba Island Chimpanzee Sanctuary,Entebbe,Uganda,-0.1005,32.652824
Smithsonian’s National Zoological Park,"Washington, DC",USA,38.929899,-77.049387
Southern China Primates Research Center,Guangdong,China,23.302267,113.339218
California Institute of Technology,"Pasadena, CA",USA,34.137604,-118.125172
California National Primate Research Center,"Davis, CA",USA,38.539846,-121.80423
University of Modena and Reggio Emilia,Modena,Italy,44.645311,10.927873
Durrell Wildlife Trust,Trinity,UK,49.229791,-2.076258
Basel Zoo,Basel,Switzerland,47.547554,7.579246
Twycross Zoo,Atherstone,UK,52.652678,-1.528202
Allwetterzoo Münster,Münster,Germany,51.948072,7.590139
Apenheul Primate Park,Apeldoorn,Netherlands,52.215561,5.918901
Blackpool Zoo,Blackpool,UK,53.81559,-3.010274
Paignton Zoo,Paignton,UK,50.427602,-3.582072
University of California Davis,"Davis, CA",USA,38.538207,-121.761777
Korea Institute of Toxicology,Daejeon,South Korea,36.388168,127.361632
Bandipur National Park,Bandipur,India,11.758566,76.445306
Planckendael Zoo,Mechelen,Belgium,51.001964,4.516475
La Vallée des Singes,Romagne,France,46.242811,0.290174
Dortmund Zoo,Dortmund,Germany,51.473827,7.468889
Nyarung Menteng,Palangka,Indonesia,-2.035955,113.780037
Orangutan Care Center and Quarantine,Kalimantan,Indonesia,-3.052272,111.918414
Quarantine Batu M’Belin,Medan,Indonesia,3.371201,98.591512
Danau Alo Release site,Riau,Indonesia,-0.934635,102.446257
University of Rome,Rome,Italy,41.903763,12.514213
KU Leuven,Leuven,Belgium,50.878158,4.700939
Institut des Maladies Neurodégénératives,Bordeaux,France,44.825343,-0.606232
Serra da Capivara National Park,NA,Brazil,-8.69685,-42.572347
Tohoku University,Tohoku,Japan,38.253935,140.874074
Doshisha University,Kyoto,Japan,35.030083,135.760656
University of Arizona,"Tuscon, AZ",USA,32.231949,-110.950281
Laboratoire d’Ecologie Générale du Muséum National d’Histoire Naturelle,Brunoy,France,48.694929,2.496519
Zoo Beauval,St Aignan,France,47.247977,1.354366
Zoo La Palmyre,Les Mathes,France,45.687305,-1.16394
Zoo La Boissière du Doré,Boissière du Doré,France,47.246796,-1.196536
Oregon National Primate Research Center,"Beaverthon, OR",USA,45.524439,-122.874197
La Plata Zoo and Botanical Park,Buenos Aires,Argentina,-34.908462,-57.942105
University of Massachusetts Amherst,"Amherst, MA",USA,42.386785,-72.521369000000007
Leintalzoo,Schwaigern,Germany,49.143051,9.077738
Frankfurt Zoo,Frankfurt,Germany,50.115902,8.702965
