species,species_formatted,species_latin
ring_tailed_lemur,Ring-tailed lemur,Lemur_catta
black_and_white_ruffed_lemur,Black-and-white ruffed lemur,Varecia_variegata_variegata
brown_capuchin_monkey,Brown capuchin monkey,Cebus_apella
black_faced_spider_monkey,Black-faced spider monkey,Ateles_chamek
squirrel_monkey,Squirrel monkey,Saimiri_sciureus
rhesus_macaque,Rhesus macaque,Macaca_mulatta
long_tailed_macaque,Long-tailed macaque,Macaca_fascicularis
barbary_macaque,Barbary macaque,Macaca_sylvanus
chimpanzee,Chimpanzee,Pan_troglodytes_verus
bonobo,Bonobo,Pan_paniscus
gorilla,Gorilla,Gorilla_gorilla_gorilla
orangutan,Orangutan,Pongo_abelii
